id,text,label
1,"I visited the beautiful beaches of Thailand last summer.",tourism
2,"The Eiffel Tower looks even better at night with the lights on.",tourism
3,"We booked a family trip to northern Pakistan for next month.",tourism
4,"The hotel offered an amazing mountain view from our balcony.",tourism
5,"Traveling to Italy was on my bucket list for years.",tourism
6,"The local cuisine in Istanbul was absolutely delicious.",tourism
7,"We went hiking in the Swiss Alps during our vacation.",tourism
8,"The travel agency offered a great discount for early bookings.",tourism
9,"Exploring ancient ruins in Greece was a memorable experience.",tourism
10,"We took a river cruise along the Nile and loved it.",tourism
11,"The city of Dubai offers a perfect mix of luxury and adventure.",tourism
12,"Our trip to Bali included snorkeling and temple visits.",tourism
13,"I prefer eco-friendly resorts when traveling.",tourism
14,"The scenic train ride through Norway was breathtaking.",tourism
15,"We enjoyed a safari tour in Kenya last winter.",tourism
16,"The beach resort had excellent service and clean rooms.",tourism
17,"We visited several UNESCO World Heritage sites in Spain.",tourism
18,"Our travel guide in Japan was very knowledgeable.",tourism
19,"The best part of our trip was exploring local street markets.",tourism
20,"I love taking photos of landmarks when I travel.",tourism
21,"The mountain trails in Nepal were challenging but rewarding.",tourism
22,"We stayed at a small guesthouse near Lake Como.",tourism
23,"The desert safari in Dubai was thrilling.",tourism
24,"We explored the museums and art galleries in Paris.",tourism
25,"The tropical islands of Maldives are paradise on Earth.",tourism
26,"We planned our itinerary carefully to cover all attractions.",tourism
27,"Our city tour included visits to several historic buildings.",tourism
28,"Traveling helps me learn about new cultures.",tourism
29,"We enjoyed the sunset boat ride in Venice.",tourism
30,"The local people were friendly and welcoming everywhere.",tourism
31,"I love road trips through scenic countryside routes.",tourism
32,"We spent our honeymoon in a beautiful resort in Seychelles.",tourism
33,"The travel blog recommended some hidden gems in Portugal.",tourism
34,"Our cruise to Alaska was an unforgettable experience.",tourism
35,"The island offered great diving spots and coral reefs.",tourism
36,"We enjoyed local music and dance performances every evening.",tourism
37,"Travel insurance is essential before going abroad.",tourism
38,"We rented bikes to explore the old streets of Amsterdam.",tourism
39,"The mountain lodge offered cozy fireplaces and great food.",tourism
40,"Our flight got delayed but the trip was still worth it.",tourism
41,"We visited the northern lights viewpoint in Iceland.",tourism
42,"I love exploring new cities on foot.",tourism
43,"Our camping trip in the national park was refreshing.",tourism
44,"We booked tickets online for the best travel deals.",tourism
45,"The scenic views during the road trip were mesmerizing.",tourism
46,"We visited several temples during our cultural trip to India.",tourism
47,"The waterfall trek in Sri Lanka was a great adventure.",tourism
48,"Traveling gives me new stories to tell every year.",tourism
49,"We met travelers from around the world at the hostel.",tourism
50,"The architecture in Prague was stunning and full of history.",tourism
51,"I applied for a new position in a software company.",job
52,"The interview went well and I expect an offer soon.",job
53,"Our company is hiring data analysts this quarter.",job
54,"She recently started a remote job as a content writer.",job
55,"I’m updating my resume for better opportunities.",job
56,"The HR manager discussed my career growth plan.",job
57,"He’s looking for an entry-level position in finance.",job
58,"Our firm is conducting a recruitment drive next week.",job
59,"She was promoted to team lead after two years.",job
60,"I’m preparing for a job interview tomorrow.",job
61,"The company offers flexible working hours and bonuses.",job
62,"I’m exploring job openings in the tech sector.",job
63,"He resigned from his old job to pursue freelancing.",job
64,"I’ve been working as a machine learning engineer since 2020.",job
65,"The onboarding process at the new office was smooth.",job
66,"Our HR team handles employee benefits and hiring.",job
67,"I’m negotiating my salary for a new position.",job
68,"The company culture promotes innovation and teamwork.",job
69,"She received an offer letter from a top multinational.",job
70,"I updated my LinkedIn profile to attract recruiters.",job
71,"Our department is expanding and hiring more staff.",job
72,"He applied for several government job openings.",job
73,"My friend got a remote internship with a US-based company.",job
74,"I’m attending a career fair at the university tomorrow.",job
75,"The job requires excellent communication skills.",job
76,"He’s looking for part-time work to gain experience.",job
77,"I submitted my job application through the portal.",job
78,"She’s training for a managerial position in sales.",job
79,"Our startup is offering internships in marketing.",job
80,"I’m working on my portfolio for design roles.",job
81,"The company offered a relocation package for new hires.",job
82,"He joined as a software developer last month.",job
83,"The job description mentions data visualization skills.",job
84,"She’s applying for an administrative assistant role.",job
85,"I’m learning new skills to improve my employability.",job
86,"Our HR department is reviewing job applications.",job
87,"The job interview will be conducted online.",job
88,"He’s preparing for a technical assessment tomorrow.",job
89,"The recruitment agency helped me find a suitable role.",job
90,"I’m considering a job switch for better pay.",job
91,"She’s been working as a teacher for five years.",job
92,"Our company announced several new job openings.",job
93,"I applied for a data science position at a startup.",job
94,"He was selected after three rounds of interviews.",job
95,"The company provides training for all new employees.",job
96,"She’s updating her resume with recent experience.",job
97,"The job portal lists thousands of new vacancies daily.",job
98,"I’m planning to switch from finance to software jobs.",job
99,"Our HR sent reminders for pending job applications.",job
100,"I’m attending a webinar on job hunting strategies.",job
